エリア	施設	タイムスタンプ	個人情報保護の方針について	全行程での宿泊数をお答えください（石川県以外での宿泊も含みます）	石川県内での宿泊数をお答えください	石川県内での宿泊エリアをお答えください	石川県外での宿泊エリアをお答えください	今回はどなたと石川県を訪れていますか？	今回の石川県の訪問目的は何ですか？（複数選択可）	石川県外から訪れた方にお聞きします。今回は主にどのような交通手段で石川県に来られましたか。※2つまでお答えください	次に、 当施設  を訪れる際に利用した主な交通手段をお答えください。※2つまでお答えください	前の設問で「自家用車」「徒歩」以外を選択された方にお聞きします。当該の交通手段をお使いいただいた満足度をお聞かせください。	上記満足度の理由について、具体的に教えてください	今回の旅行またはお出かけにおける、石川県内での具体的な宿泊費をお答えください。（予定でも可/１人あたり）	今回の旅行またはお出かけにおける石川県内での具体的な交通費をお答えください。（予定でも可/１人あたり） ※石川県外からの交通費、石川県内での交通費を含む。	今回の旅行またはお出かけにおける、石川県内での具体的な現地消費額をお答えください。（予定でも可/１人あたり） ※飲食、買い物、体験・観光などの消費額合計 ※宿泊費、交通費を除く	これまでに   当施設   には何度訪れたことがありますか。	今回   当施設   を訪れる際に参考にした情報源は何ですか？（複数選択可）	当施設   の前に訪れた主な場所（施設やスポット名称、エリアなど）を、次の名称リストからひとつ選んでください。  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設   が最初に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(前)	当施設   の後に訪れる予定の場所（施設やスポット名称、エリア）を、次の名称リストからひとつ選んでください  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設    が最後に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(後)	当施設    における、消費総額をお答えください。（予定でも可/１人あたり）	当施設 における、商品・サービスの満足度をお答えください	上記満足度の理由につい具体的に教えてください。(サービス)	当施設   における、施設全体の満足度をお答えください。	上記満足度の理由につい具体的に教えてください。(施設全体)	当施設   において、不便を感じたり困ったことはありましたか。	上記不便を感じたり、困ったことについて具体的に教えてください	あなたは石川県への旅行または 当施設 へのお出かけを、どのくらい家族や友人に薦めたいと思いますか。 0（全く薦めたくない）～10（ぜひ薦めたい）でお答えください。	あなたが求めている   当施設   の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください	今後、再び石川県を訪れたいと思いますか	あなたが求めている石川県の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください。  (※必須項目です。無ければ「特になし」とご記入ください)	性別をお答えください	生まれた年をお答えください	お住いの都道府県をお答えください	お住いの市区町村をお答えください 例：新宿区	世帯年収をお答えください	アンケートに回答しようと思った動機をお答えください	旅全体の総合満足度を教えてください。	石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。 ０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。	今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
金沢エリア	金沢駅	2025/07/31	同意する	4泊以上	4泊以上	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	姉妹	地元の美味しいものを食べる, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）, スポーツ観戦や芸術鑑賞（コンサート等）	飛行機	路線バス	とても満足	空港リムジンバスは座席も綺麗で良かった	50,000円以上 100,000円未満	10,000円以上 20,000円未満	30,000円以上 40,000円未満	初めて	新聞・雑誌・ガイドブック, インターネット・アプリ	選択なし/該当施設なし	ゴルフ場	金沢21世紀美術館		1,000円以上 3,000円未満	とても満足	パンフレットがとても多い	満足	見つけやすい　入りやすい	感じた	テーブルなどスペースがあると良い	8		また行きたい（1年以内）	特になし	女	1964	神奈川県	横浜市	200万円以上 300万円未満	景品が当たる	とても満足	9	
金沢エリア	金沢駅	2025/08/01	同意する	2泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	富山県	親	地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット	自家用車	自家用車			5,000円以上 10,000円未満	1,000円以上 3,000円未満	5,000円以上 10,000円未満	2～5回目	インターネット・アプリ	選択なし/該当施設なし		近江町市場		3,000円以上 5,000円未満	とても満足	おいしい	とても満足	おいしい	感じた	トイレが少ない	7		機会があれば行きたい	インバウンド向けでない日本人観光客向けの安い海鮮物	男	2000	埼玉県	川口市	400万円以上 500万円未満	景品が当たる, ひゃくまんさんが好き	とても満足	9	
金沢エリア	金沢港クルーズターミナル	2025/08/01	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	夫婦2人	友人・親戚を訪ねる	自家用車	自家用車			使わない	使わない	20,000円以上 30,000円未満	初めて	通りがかり	選択なし/該当施設なし	主要な観光地はもう行った。	選択なし/該当施設なし		使わない	どちらでもない		満足	広々としていて綺麗。	感じなかった		6		また行きたい（1年以内）	特になし	男	1970	和歌山県	和歌山市	500万円以上 600万円未満	景品が当たる	とても満足	8	
金沢エリア	金沢中央観光案内所	2025/08/01	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	夫婦2人	地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット, まちあるき、都市散策, 友人・親戚を訪ねる	新幹線	徒歩			5,000円以上 10,000円未満	30,000円以上 40,000円未満	10,000円以上 20,000円未満	初めて	歩いていたらあったため。	選択なし/該当施設なし	武家屋敷	近江町市場		使わない	どちらでもない		満足		感じなかった		5		また行きたい（1年以内）	工芸品体験	男	1997	千葉県	浦安市	400万円以上 500万円未満	景品が当たる	とても満足	8	寿司屋さん
金沢エリア	金沢中央観光案内所	2025/08/01	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	夫婦2人	地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット, まちあるき、都市散策, 友人・親戚を訪ねる	新幹線	徒歩	どちらでもない	ふらっと立ち寄ったため	10,000円以上 20,000円未満	1,000円以上 3,000円未満	5,000円以上 10,000円未満	2～5回目	友人・知人	選択なし/該当施設なし	武家屋敷	近江町市場		使わない	とても満足	涼しい	とても満足	椅子がある	感じなかった		6		また行きたい（1年以内）	特になし	その他	1997	千葉県	浦安市	400万円以上 500万円未満	景品が当たる	とても満足	10	街並みが綺麗、ご飯が美味しい
金沢エリア	KOKOHOTEL Premier 金沢香林坊	2025/08/02	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	親	氷見　航空祭り	旅行会社ツアーバス	旅行会社ツアーバス	満足	快適	30,000円以上 40,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	初めて	ツアー旅行	選択なし/該当施設なし		選択なし/該当施設なし		1,000円未満	満足		満足		感じなかった		6		機会があれば行きたい	特になし	男	1992	兵庫県	神戸市	1,500万円以上	景品が当たる	満足	6	
金沢エリア	スーパーホテルPremier金沢駅東口	2025/08/02	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	自分ひとり	地元の美味しいものを食べる	新幹線, 在来線	徒歩			5,000円以上 10,000円未満	10,000円以上 20,000円未満	5,000円以上 10,000円未満	2～5回目	ブログ	尾山神社		選択なし/該当施設なし		使わない	どちらでもない	過不足無し	どちらでもない	過不足なし	感じなかった		5	特になし	また行きたい（1年以内）	とくになし	男	1965	京都府	木津川市	1,500万円以上	景品が当たる, ひゃくまんさんが好き	満足	8	寿司が美味い
金沢エリア	石川県立歴史博物館	2025/08/02	同意する	3泊	3泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	富山県	夫婦2人	地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞	新幹線	路線バス	満足		5,000円以上 10,000円未満	20,000円以上 30,000円未満	10,000円以上 20,000円未満	初めて	観光パンフレット・ポスター	近江町市場		金沢21世紀美術館		1,000円以上 3,000円未満	満足		満足		感じなかった		5		機会があれば行きたい	近江町市場	男	1950	東京都	武蔵村山市	300万円以上 400万円未満	石川県のおすすめ観光スポットが見たい	満足	6	
金沢エリア	尾山神社	2025/08/03	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	小学生以下連れの家族	地元の美味しいものを食べる, 名所、旧跡の観光	新幹線	路線バス	とても満足	本数多い	10,000円以上 20,000円未満	10,000円以上 20,000円未満	20,000円以上 30,000円未満	初めて	新聞・雑誌・ガイドブック	金沢21世紀美術館		兼六園		3,000円以上 5,000円未満	とても満足	かわったお土産	とても満足	プール、ゆったり展示	感じた	周り方	9	とても魅力的だが、わかりにくい物も多い	機会があれば行きたい	体験系	男	1979	神奈川県	横浜市	400万円以上 500万円未満	景品が当たる	とても満足	9	観光地同志ちかい
金沢エリア	石川県立図書館	2025/08/03	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	恋人	まちあるき、都市散策, ドライブ・ツーリング	県外から訪れていない（石川県内在住）	自家用車			使わない	使わない	3,000円以上 5,000円未満	2～5回目	友人・知人	選択なし/該当施設なし	第七餃子	選択なし/該当施設なし		使わない	とても満足	椅子も多くゆったりと本を楽しめる	とても満足	綺麗	感じた	トイレが少ない気がした	10		石川県在住	特になし	女	1988	石川県	金沢市	200万円以上 300万円未満	景品が当たる, ひゃくまんさんが好き	満足	9	観光客には行きづらい場所ではあるが建物が綺麗なところ
